Type	Deaths	Name	Location	Year	Latitude	Longitude	Magnitude
Avalanche	172	2010 Salang avalanches	AFG	2010			
Avalanche	102	2010 Kohistan avalanche	PAK	2010			
Avalanche	201	2012 Afghanistan avalanches	AFG	2012			
Avalanche	138	2012 Gayari Sector avalanche	PAK	2012			
Avalanche	11	2012 Manaslu avalanche	NPL	2012			
Avalanche	9	Mont Maudit avalanche	FRA	2012			
Avalanche	9	2012 Restelica avalanche	XKX	2012			
Avalanche	43	2014 Nepal snowstorm disaster	NPL	2014			
Avalanche	16	2014 Mount Everest avalanche	NPL	2014			
Avalanche	22	2015 Mount Everest avalanches	NPL	2015			
Avalanche	310	2015 Afghanistan avalanches	AFG	2015			
Avalanche	9	2016 Aru Range avalanche	CHN	2016			
Avalanche	29	Rigopiano avalanche	ITA	2017			
Avalanche	24	2017 Gurez sector avalanche	IND	2017			
Avalanche	41	2020 Van avalanches	TUR	2020			
Avalanche	27	2022 Uttarakhand avalanche	IND	2022			
Avalanche	11	2022 Marmolada serac collapse	ITA	2022			
Avalanche	11	2009 Zigana avalanche	TUR	2009			
Avalanche	10	2009 Afghan avalanches	AFG	2009			
Avalanche	125	Kolka-Karmadon rock ice slide	RUS	2002			
Avalanche	9	Cerro Ventana avalanche	ARG	2002			
Avalanche	12	Kaprun avalanche	AUT	2000			
Landslide	43	2014 Oso mudslide	USA	  2014	48.283	-121.847	
Landslide	1525	2014 Badakhshan mudslides	AFG	  2014			
Landslide	136	2014 Malin landslide	IND	  2014	19.161	73.688	
Landslide	156	2014 Sunkoshi blockage	NPL	  2014			
Landslide	74	2014 Hiroshima landslides	JPN	  2014			
Landslide	16	2014 Badulla landslide	LKA	  2014			
Landslide	93	2014 Indonesia landslide	IDN	  2014			
Landslide	52	2015 Badakhshan landslides	AFG	  2015			
Landslide	14	2015 Bahia landslide	BRA	  2015			
Landslide	113	2015 Colombian landslide	COL	  2015			
Landslide	350	2015 Guatemala landslide	GTM	  2015			
Landslide	38	2015 Lidong landslide	CHN	  2015			
Landslide	213	2015 Hpakant jade mine disaster	MMR	  2015			
Landslide	329	2017 Mocoa landslide	COL	  2017	1.15	-76.648	
Landslide	152	2017 Bangladesh landslides	BGD	  2017	22.633	92.2	
Landslide	83	2017 Xinmo landslide	CHN	  2017	32.067	103.65	
Landslide	1141	2017 Sierra Leone mudslides	SLE	  2017	8.483	-13.233	
Landslide	20	2018 South California landslides	USA	  2018	34.05	-118.25	
Landslide	71	2019 Hpakant landslides	MMR	  2019			
Landslide	70	2019 Mottama landslide	MMR	  2019			
